Gene1,Gene2,Read counts,In iPRINT_A,In iPRINT_B,In iPRINT_C,Read count_iPRINT_A,Read count_iPRINT_B,Read count_iPRINT_C
ZNF141,VPS53,14,1,1,1,8,5,1
LOC112268260,C5orf24,19,0,1,0,0,19,0
VPS53,PEAK1,17,1,1,0,10,7,0
ZNF101,DBT,27,1,1,0,26,1,0
NICN1,LYRM7,26,1,0,1,1,0,25
PRORY,FNIP2,42,1,1,1,23,8,11
TMC7,TCP11L1,33,1,1,1,4,8,21
KATNAL2,EEPD1,28,1,1,1,2,15,11
SCAI,HAUS2,19,1,1,0,2,17,0
TCF7,NARF,35,1,1,0,28,7,0
EPB41,CEP57L1,68,0,0,1,0,0,61
CLEC2D,ACADSB,41,1,0,0,41,0,0
LRRC2,ATG13,22,1,0,0,22,0,0
ZNF394,PGBD1,23,1,1,0,1,22,0
STX8,ARNTL2,19,0,0,1,0,0,19
SPIRE2,LRPAP1,17,1,0,1,15,0,2
PSMB2,PIGR,24,0,1,0,0,24,0
CLEC17A,CACNB2,68,1,1,0,67,1,0
WDPCP,NRXN1,30,1,1,1,19,9,2
TRIP11,PDE7A,26,0,1,0,0,26,0
TRPM6,PKNOX1,20,0,1,0,0,20,0
ZNF438,ZKSCAN1,36,1,0,0,36,0,0
ZMYM5,SLFN13,17,1,0,1,4,0,13
ZMYM6,PGAM5,15,0,1,0,0,15,0
MREG,AGK,15,0,1,0,0,15,0
KIAA1191,CAMKMT,14,1,1,0,7,7,0
MAPKAPK5,GNS,21,1,0,1,2,0,19
SPCS3,CATSPERD,18,1,0,0,18,0,0
MED29,ALPK1,28,0,1,0,0,28,0
TCP11L1,C1orf162,14,0,1,0,0,14,0
ZNRF3,MICALL2,30,1,1,0,29,1,0
KIAA0319L,GFOD1,25,0,1,0,0,25,0
ZNF432,EEF2K,17,0,1,0,0,17,0
CNNM3,ADD2,13,1,1,0,1,12,0
WFDC8,ARFGEF1,40,1,0,0,40,0,0
SVOP,MYEF2,25,1,0,0,25,0,0
CYB5R3,ATF7IP,23,1,1,0,1,22,0
TBC1D31,RPL7L1,29,1,0,0,29,0,0
MKNK1,KIAA0513,26,1,0,1,25,0,1
GNPNAT1,GAPVD1,24,0,1,0,0,24,0
P2RY2,CD300LG,14,1,0,0,14,0,0
PLIN3,MAP1LC3C,16,0,1,1,0,15,1
GNE,FRRS1L,14,1,1,1,3,1,10
UBN2,ABHD11,13,1,0,1,12,0,1
ZSCAN22,NLRP8,19,0,0,1,0,0,19
CPT1A,ARHGEF39,67,1,1,0,2,65,0
TVP23A,ITPKB,14,0,0,1,0,0,14
KIF17,DBF4B,19,1,0,1,15,0,4
GSG1,ABCA9,17,1,1,1,8,1,8
UQCRB,TRIM58,16,1,1,0,14,2,0
SPAG1,NKTR,14,1,0,1,12,0,2
XIAP,MED18,19,1,1,0,1,18,0
SIGLEC6,ALDH6A1,17,0,1,0,0,17,0
UNK,TARS2,37,0,1,1,0,18,19
SV2C,RBL1,30,1,0,0,30,0,0
UBAP1L,B3GALNT2,13,0,1,0,0,13,0
GABPB2,BTN3A2,44,0,0,1,0,0,44
PHACTR4,ABCB9,89,0,1,0,0,89,0
SLC9A7,LOC112268271,24,0,1,0,0,24,0
MTMR12,KIN,27,0,1,1,0,1,26
TRAPPC2,TLR7,15,1,1,0,12,3,0
ZNF587,DEPTOR,20,0,1,0,0,20,0
RBMS2,APPBP2,50,0,1,0,0,50,0
VCPKMT,FIGNL2,14,0,1,0,0,14,0
DYRK3,AASS,20,0,1,0,0,20,0
N4BP2,LYRM9,19,0,0,1,0,0,19
ZNF841,TIMM50,15,1,0,0,15,0,0
TUBD1,SCIMP,14,1,1,1,2,2,10
SKP2,PPP1R3B,17,1,0,0,17,0,0
TCEANC2,EOGT,56,0,1,0,0,56,0
SRSF10,EPB41,53,0,1,0,0,50,0
ZKSCAN1,PNPO,14,0,1,1,0,10,3
ZNF221,TAPBP,24,1,0,1,14,0,10
HNMT,CDH1,22,1,0,0,22,0,0
LOC107987254,GPRIN3,16,1,0,0,16,0,0
TUBD1,DIS3L,281,1,0,0,281,0,0
RNF14,FAHD2B,36,0,0,1,0,0,36
SLC6A20,ROPN1L,13,0,1,0,0,13,0
MARCH2,ADAT2,55,0,0,1,0,0,55
YME1L1,NPHP3,26,0,0,1,0,0,26
USP6NL,ANKRD53,94,1,1,1,55,28,11
ZKSCAN1,GSTO2,28,1,0,0,28,0,0
VHL,DENND6A,15,1,0,0,15,0,0
ZSCAN22,AGMAT,19,1,1,1,3,2,14
RFTN2,PPM1B,15,1,0,0,15,0,0
ZNF528,MAPKAPK5,68,1,0,0,68,0,0
H6PD,CYREN,14,0,0,1,0,0,14
TEX14,SNAP29,13,1,0,0,13,0,0
ZNF620,LIG4,13,0,0,1,0,0,13
TMEM135,SLC25A35,31,0,1,0,0,31,0
C8orf59,ART3,19,1,0,0,19,0,0
ZNF320,ACBD5,59,0,1,0,0,59,0
SHISA9,HMGCLL1,50,1,1,1,12,14,24
ZHX3,LIMS1,100,1,0,0,100,0,0
RSU1,NSD2,44,0,1,0,0,44,0
ZNF544,JOSD1,17,1,0,0,17,0,0
FKBP5,C16orf87,26,0,1,0,0,26,0
TRMT9B,SHISA9,1665,1,1,1,881,421,363
SETMAR,LPAR6,27,1,1,0,25,2,0
PEAK3,AK3,54,1,1,1,30,2,22
ZC3HAV1L,CEP68,14,1,0,0,14,0,0
RPS6KA5,GPI,92,1,0,0,92,0,0
ZKSCAN3,C11orf54,21,1,0,0,21,0,0
ZDBF2,FKBP14,24,1,0,0,24,0,0
SLC38A1,RNF115,21,1,0,0,21,0,0
NABP2,FAXC,47,0,0,1,0,0,47
WNT8A,CES2,19,0,1,0,0,19,0
SLC35E3,PFAS,13,1,0,0,13,0,0
SS18,KIAA0355,34,1,0,1,32,0,2
ZNF429,DTD2,20,1,1,0,1,19,0
EBF1,CTSB,23,0,0,1,0,0,23
MIGA1,LRCH3,52,1,1,1,4,5,43
SERPINB9,ATF1,17,0,1,0,0,17,0
NPIPA3,CPT1A,21,0,0,1,0,0,21
PRELP,CCR6,35,1,0,0,35,0,0
VPS53,PTK7,29,0,1,0,0,29,0
GP2,EPB41,13,0,1,0,0,12,0
TAPBP,MAVS,28,1,1,0,25,3,0
DUXA,CEP68,15,1,0,0,15,0,0
ZNRF3,WDR82,31,1,0,0,31,0,0
EXPH5,DAPK2,25,1,0,0,25,0,0
PPP6R3,FOXK1,13,1,1,1,4,7,2
YES1,LRIG2,15,1,0,0,15,0,0
OSBPL2,DNM1L,75,1,1,0,74,1,0
ESYT2,BNIPL,56,1,0,0,56,0,0
SPDYE2B,PTAFR,25,1,1,0,5,20,0
LAMP2,DGKH,29,1,1,0,2,27,0
TMEM209,ADA2,43,0,0,1,0,0,43
SKA2,GALNT15,14,0,1,0,0,14,0
FAM153A,EFCAB8,48,1,0,0,48,0,0
PHC3,DEPTOR,37,1,1,0,1,36,0
SEMA5A,NHSL2,57,0,1,0,0,57,0
ZNF562,GALNS,42,0,1,0,0,42,0
SLC35F1,PRKN,20,1,1,0,18,2,0
MSRB3,GAS2L3,70,1,1,0,35,35,0
NPC1,NEK4,15,1,0,0,15,0,0
PACS2,KLB,25,1,1,0,2,23,0
TEX2,FBXW2,28,0,1,1,0,27,1
PRKN,POU2AF1,13,1,0,1,12,0,1
ZNF331,RPH3AL,186,0,1,0,0,186,0
TPM3,IKZF3,30,1,1,0,29,1,0
NOS1,LYRM7,17,1,0,0,17,0,0
TMEM170A,GDAP2,82,1,1,1,1,80,1
IBA57,GK5,27,1,1,0,2,25,0
RNF207,ABCC9,60,0,1,0,0,60,0
CWC25,ACTR3C,35,1,0,1,3,0,32
SPDYE2B,SLC5A5,16,1,0,1,4,0,12
EYA3,ATP1B4,16,1,1,1,4,1,11
PCDH11Y,MAP2K6,65,1,0,0,65,0,0
TLR2,SPDYE2B,21,1,1,0,1,20,0
ZNF835,MINDY2,16,0,1,1,0,1,15
ZNF347,VSIG1,89,0,1,1,0,17,72
ZNF493,PCM1,37,0,0,1,0,0,37
EIF4E,CPLANE1,152,1,1,1,86,40,26
MTHFD2L,CA5B,16,1,1,0,1,15,0
TRAF3IP1,SF3B3,22,0,0,1,0,0,22
SFI1,LETM1,16,1,0,0,16,0,0
CYB5R3,AMER3,21,0,1,0,0,21,0
ZDHHC3,UBE2E2,47,0,1,0,0,47,0
SPRED1,H6PD,14,1,1,0,1,13,0
INIP,HAUS5,13,0,1,0,0,13,0
SPART,GOLGA6L1,15,1,0,0,15,0,0
VWA7,METTL2A,14,1,0,0,14,0,0
PPP1R3B,MEAF6,13,1,0,1,1,0,12
MEAF6,FAM213A,13,1,0,1,3,0,10
CCDC57,AK7,14,1,1,0,3,11,0
ZNF527,CENPI,29,1,0,0,29,0,0
SAA2,DSTYK,17,1,0,0,17,0,0
YES1,SMIM12,54,0,0,1,0,0,54
XIAP,KIAA1257,51,1,0,0,51,0,0
ZNF454,RABL2B,24,1,0,1,1,0,23
USP28,MAPK1IP1L,24,0,0,1,0,0,24
EXPH5,CCL16,33,0,0,1,0,0,33
ZBTB37,LRP4,15,1,0,0,15,0,0
SFMBT2,BRIP1,27,1,1,0,1,26,0
SUSD5,HIF3A,73,1,0,1,1,0,72
ZNF141,TOR1AIP2,47,1,0,1,10,0,36
SYN3,CCDC157,33,1,0,1,1,0,32
TNFSF14,MAP1LC3C,33,0,0,1,0,0,33
TSEN34,PROM2,15,0,1,0,0,15,0
TSGA13,TMEM131L,13,1,0,0,13,0,0
SLC7A5,LOC112268375,20,1,1,1,11,5,4
GVQW3,CASP8,78,0,1,0,0,78,0
RBBP5,CAMK1D,38,1,1,1,22,5,11
NPIPB2,ANKRD17,33,1,1,0,9,24,0
PEX26,METTL22,20,1,1,1,4,9,7
NEK10,ME2,42,0,0,1,0,0,42
LOC102724488,KIF6,24,0,0,1,0,0,24
XPNPEP3,SLU7,41,1,1,0,1,40,0
ZNF18,SENP8,21,1,1,0,1,20,0
SYNJ1,LRRC28,27,1,0,1,26,0,1
TLCD2,SLC35F5,16,1,0,1,7,0,9
SPRY4,IKBKB,27,0,0,1,0,0,27
PPFIBP1,NR6A1,15,0,1,1,0,3,12
SLC31A1,FAM153A,19,0,1,1,0,1,18
ZNF383,NXPE3,53,0,0,1,0,0,53
SYNPO2,KIAA1324,42,1,1,0,1,41,0
ZNF718,MOSPD1,13,0,1,0,0,13,0
TMEM106A,CAPN9,39,1,0,0,39,0,0
PMS1,KLRD1,33,0,0,1,0,0,33
LOC107984974,ALDH1L2,24,1,0,0,24,0,0
SLC24A4,MAP7D3,26,0,1,1,0,1,25
WRAP53,APOBEC3D,13,1,0,0,13,0,0
NR6A1,ANKRD12,15,0,1,0,0,15,0
PNPLA4,BLNK,53,1,1,1,30,8,15
ZNF283,ART3,38,1,1,1,33,1,4
TMEM59,ARSA,37,1,1,1,2,1,34
SEC14L4,PGAM5,22,0,0,1,0,0,22
IRAK4,INMT,13,0,1,0,0,13,0
NRG4,GABPB1,61,1,0,1,2,0,59
CYB5R3,BEND7,41,0,1,0,0,41,0
PSMD12,PLEKHA2,15,0,1,0,0,15,0
ZNF805,SPATA5,30,1,0,1,8,0,22
LOC112268198,HIF3A,41,1,1,0,5,36,0
RNF41,LOC107984026,52,1,1,0,1,51,0
MDM2,ANAPC15,20,0,1,1,0,19,1
RHBDD3,RAB8B,13,1,1,0,9,4,0
SLC25A26,LRIG1,28,0,0,1,0,0,28
GTF2E1,ANGPT1,14,1,0,0,14,0,0
LOC102724985,ARFIP2,14,1,0,0,14,0,0
VTI1A,DENND6A,19,1,1,0,18,1,0
ZNF101,SH2D6,18,1,0,0,18,0,0
MAK,GNE,29,1,0,1,1,0,28
ZNF287,SIX4,26,0,0,1,0,0,26
XIAP,GGPS1,20,1,1,1,17,1,2
HP1BP3,GLIPR1L2,113,1,0,0,113,0,0
ZMYM1,MR1,21,0,0,1,0,0,21
SRD5A3,CBWD6,14,1,0,0,14,0,0
WDR92,SV2B,14,0,0,1,0,0,14
NCOA6,LDB3,39,0,0,1,0,0,39
GREB1,CPT1A,20,1,0,1,15,0,5
OPA3,FBXW8,84,0,1,1,0,83,1
TMEM170A,GEMIN8,58,1,0,0,58,0,0
TFDP2,SUGT1,18,1,1,1,8,4,6
SLC28A1,RSPH3,15,1,0,0,15,0,0
KRAS,ALDH3A2,77,1,0,0,77,0,0
TAF8,IRF1,28,1,1,1,2,1,25
EPHA6,CEP57L1,68,0,0,1,0,0,68
SIAH1,NUGGC,24,0,1,0,0,24,0
ZNF133,TGFBRAP1,22,1,0,1,21,0,1
ZNF534,ZNF454,55,0,1,1,0,53,1
UHRF1,FAM129C,20,1,0,1,2,0,18
OBSCN,GOSR2,15,1,0,0,15,0,0
XRCC6,VHL,19,0,0,1,0,0,19
TUBGCP4,CFLAR,64,0,1,0,0,64,0
P2RY2,GLTP,16,1,1,1,2,4,10
SLC4A8,GDAP2,34,1,0,0,34,0,0
ZNF426,SPPL2A,32,1,1,1,10,19,3
DNAJC17,CBFA2T2,16,0,1,0,0,16,0
SIRT5,ADAT1,18,1,0,0,18,0,0
LIAS,CXorf56,19,1,0,1,18,0,1
ZFP64,PDCL,23,1,1,0,10,13,0
RPL15,ENAH,19,0,1,0,0,19,0
POU2AF1,METTL21A,75,1,1,0,68,7,0
WIPF2,DSTYK,51,1,1,0,50,1,0
DNAJC21,ABI2,45,0,1,0,0,45,0
RABL3,DNASE1,36,0,0,1,0,0,36
MCFD2,ATF4,59,0,1,0,0,59,0
ZNF850,RIPPLY3,53,0,1,0,0,53,0
SREK1IP1,FAM122C,31,0,0,1,0,0,31
PPP6R3,KIF1B,24,0,1,1,0,23,1
PARD6G,DDHD2,21,0,0,1,0,0,21
CD84,CD3EAP,21,0,0,1,0,0,21
EIF5A,C17orf99,17,0,0,1,0,0,17
CC2D1B,CC2D1A,66,1,1,0,65,1,0
HOMER2,ALDH6A1,15,1,0,0,15,0,0
SERPINB9,MOB3A,42,1,1,1,14,14,14
SLC36A2,RAB36,30,1,1,0,29,1,0
RSPH3,CEP89,25,0,1,1,0,2,23
PDZD8,KIF18B,13,1,1,0,1,12,0
SYNRG,ANKLE1,191,1,1,1,5,3,183
TAPBP,RBMS2,86,0,1,0,0,86,0
SFXN1,ABCC9,75,0,0,1,0,0,74
LOC101930307,CSF2RA,23,0,1,0,0,23,0
DFFB,C11orf58,15,1,0,0,15,0,0
SUGT1,AGAP1,15,1,0,0,15,0,0
SPRYD7,RMC1,64,0,1,1,0,24,40
SPEF2,SMIM12,18,0,0,1,0,0,18
ZFP42,PCLAF,18,0,1,0,0,18,0
UBA1,TMEM120B,13,1,1,1,2,4,7
LLGL2,AKIP1,13,0,0,1,0,0,13
THAP6,POLR1A,13,0,0,1,0,0,13
UGT2B15,FNIP2,15,1,0,1,13,0,2
SMIM14,PDE6A,19,1,1,0,4,15,0
SLC16A4,GSTM3,17,0,1,0,0,17,0
VTI1A,NOS1,19,1,0,1,1,0,18
SMU1,CDHR3,19,0,0,1,0,0,19
ZHX3,STK17B,30,0,0,1,0,0,30
ZNRF3,ARHGAP26,19,0,0,1,0,0,19
SCNM1,MIGA1,49,1,0,1,47,0,2
MBOAT1,LOC107984974,14,0,0,1,0,0,14
MBOAT2,EPHA6,16,0,1,1,0,14,2
PRELP,ABHD12B,53,1,1,1,32,17,4
SKA1,ICA1L,17,1,1,0,5,12,0
SLC30A4,BEST1,17,0,0,1,0,0,17
TOR1AIP2,CASP8,45,0,0,1,0,0,43
ZNF749,SLC9A7,22,1,0,0,22,0,0
DBF4B,ADGRE5,13,0,1,0,0,13,0
TNFAIP8L1,AKAP9,83,1,1,0,1,82,0
NUDT15,ESYT2,18,1,0,0,18,0,0
PCDH11X,NUP54,31,0,0,1,0,0,31
SLC5A5,RHBDD1,21,0,0,1,0,0,21
SNX25,NBPF11,15,0,1,0,0,15,0
TNFAIP8L1,BRIP1,16,1,1,0,6,10,0
PATJ,KDELC2,13,1,0,0,13,0,0
TMEM212,FER,53,1,1,1,18,26,9
CHURC1,C12orf50,94,1,1,1,44,46,4
EPB41,C1orf174,111,1,0,0,110,0,0
C2orf92,ATXN3,50,0,0,1,0,0,50
SEM1,ALG1L,35,1,1,1,23,5,7
SPPL2A,PPP1R3B,23,1,1,1,3,2,18
ZNF677,KBTBD12,14,1,1,0,12,2,0
HIF3A,CCSER2,28,1,0,0,28,0,0
ZBTB8A,VHL,25,1,1,0,24,1,0
TANGO2,OTULIN,17,1,0,0,17,0,0
VWA7,CCBE1,26,0,1,0,0,26,0
SKA1,JOSD1,21,0,1,0,0,21,0
SLC41A2,GPRIN3,82,0,1,0,0,82,0
PIGO,LRPAP1,19,1,1,1,17,1,1
SUGT1,GAB1,17,1,0,0,17,0,0
SHPK,GPLD1,13,1,0,1,8,0,5
MAPK1IP1L,LRP2BP,16,0,0,1,0,0,16
NME9,FAM104B,135,0,1,0,0,135,0
PARP15,ARCN1,21,0,1,0,0,21,0
RAD9B,PRR27,14,0,0,1,0,0,14
ZKSCAN3,PXMP4,23,1,1,0,12,11,0
TTPAL,DMGDH,30,1,1,0,1,29,0
POU2F3,KALRN,24,0,1,0,0,24,0
ZNF221,CRX,20,1,1,1,15,1,4
MAP3K5,LOC105379177,13,1,0,0,13,0,0
RNF41,ATP13A3,20,1,1,0,17,3,0
ZKSCAN1,COPS7B,15,0,0,1,0,0,15
USP49,DDX55,20,1,0,1,1,0,19
ZNF534,LIMS1,64,0,1,0,0,64,0
HAUS2,GK5,17,1,0,0,17,0,0
SPC25,EPPIN,27,1,1,1,8,18,1
USP19,LAMB2,34,1,0,0,34,0,0
MYMX,ATXN3,26,1,0,0,26,0,0
PPM1K,GPR161,24,1,0,0,24,0,0
QTRT2,LEPROT,22,1,0,0,22,0,0
TRMT2B,FZD2,31,1,0,0,31,0,0
MXRA7,KPNA1,22,0,1,0,0,22,0
ZNF273,CD300LG,28,0,0,1,0,0,28
TBC1D3K,TBC1D3J,19,1,0,1,14,0,5
ZNF865,TMEM8B,14,1,0,0,14,0,0
XPR1,TCTN2,75,0,1,0,0,75,0
METTL21A,CCR6,28,1,1,0,27,1,0
SERPINB9,METTL22,31,1,1,0,20,10,0
ZNF544,HP1BP3,81,1,1,0,80,1,0
LSMEM2,FAM126B,13,1,1,0,12,1,0
PHGDH,ATF7IP,49,0,0,1,0,0,49
PLEKHB2,LOC102723623,32,1,0,0,32,0,0
TUBA1C,MFAP5,20,0,0,1,0,0,20
RHBDD3,ART1,17,1,0,1,9,0,8
ZNF2,DBT,30,0,1,0,0,30,0
SIGLEC6,GOSR1,20,0,1,0,0,20,0
PRDM2,NCAM2,13,1,1,1,11,1,1
SPATA5,LRIG2,43,0,1,1,0,16,27
ZSCAN2,ARNTL2,61,0,0,1,0,0,61
CLYBL,ATP6AP1L,111,1,0,0,111,0,0
TPM3,TLCD2,16,1,1,0,6,10,0
SFMBT2,BACE2,18,0,0,1,0,0,18
MALL,CABP4,15,0,0,1,0,0,15
NABP2,MNT,38,0,1,1,0,1,37
FAM114A1,CSF2RA,44,0,1,0,0,44,0
PCDH11X,GGCX,68,1,0,0,68,0,0
POLH,FAM71F2,18,1,1,1,12,5,1
ZNF527,PGM2L1,16,1,1,1,8,6,2
TMEM8B,IFNLR1,88,1,0,1,87,0,1
UEVLD,PUS7L,16,1,0,0,16,0,0
PLPP4,LARGE1,19,1,0,0,19,0,0
ZNF160,FRRS1,20,1,1,0,1,19,0
DIAPH3,CD82,32,1,0,1,4,0,28
UVRAG,DZIP3,71,1,1,1,22,39,10
CNR2,ATG14,16,0,0,1,0,0,16
TAF8,MAP3K13,13,1,0,1,4,0,9
NUGGC,DIS3L,20,0,0,1,0,0,20
FMO5,DIS3L,44,1,1,0,1,43,0
MITD1,KANK4,16,0,0,1,0,0,16
ZNF43,BRD1,83,1,0,0,83,0,0
PCDH11Y,NCBP1,57,0,0,1,0,0,57
MORN4,CCNDBP1,15,1,0,0,15,0,0
VASH2,PPIL6,27,1,0,0,27,0,0
MAP2K6,LARS,52,1,0,0,52,0,0
FKBP14,ACSL6,22,0,1,1,0,21,1
HIP1,ARSA,43,1,0,0,43,0,0
SMAD5,GDPD1,18,1,0,0,18,0,0
UGT2B10,PROSER1,17,1,0,0,17,0,0
TTC24,SLC35E3,21,0,0,1,0,0,21
RFC2,CCDC113,57,0,0,1,0,0,57
DTNB,C2orf49,13,0,1,0,0,13,0
RAD1,AK7,13,1,0,0,13,0,0
WDR31,NSUN6,30,1,0,1,29,0,1
ZSWIM8,NDST2,19,1,0,0,19,0,0
USP19,RHOBTB2,182,1,0,1,85,0,97
DZIP1L,CEP57L1,34,1,0,0,34,0,0
ZC3HAV1,KCNJ5,15,0,1,1,0,1,14
NRG4,FAM118A,87,1,1,0,1,86,0
KDELC2,GOSR1,13,1,1,0,3,10,0
CASP8,ARMC9,24,1,0,0,24,0,0
IL17RA,GRAMD1B,27,1,1,0,22,5,0
NME6,ERCC1,31,1,1,0,29,2,0
ZNF677,ZNF544,36,0,0,1,0,0,36
RRM2,RAB36,48,1,0,0,48,0,0
ZNF33B,ABCB5,15,0,0,1,0,0,15
ORAI2,C2orf49,31,1,1,1,25,1,5
TPM1,SPC24,25,1,0,1,24,0,1
HFE,GABPB2,16,0,0,1,0,0,16
NFX1,EPHA6,24,0,0,1,0,0,24
SLC24A4,PLCXD1,27,0,1,1,0,26,1
ZNF529,EMP2,23,0,0,1,0,0,23
TRIM4,CFLAR,280,1,1,1,146,11,123
PSTPIP2,CD209,101,1,0,1,64,0,37
UTY,IL17RD,70,0,0,1,0,0,70
PTPRN2,AFMID,26,1,0,0,26,0,0
NEK4,BRIP1,35,1,1,1,26,1,8
SMIM14,MTPAP,14,1,1,1,12,1,1
SLC30A6,CCSER2,15,1,0,0,15,0,0
TMEM212,NRXN1,100,1,1,1,42,28,30
PEX13,ATP8A2,28,1,1,1,5,17,6
ZNF875,SCAI,14,1,0,0,14,0,0
RHOBTB1,KDM7A,16,0,1,0,0,16,0
NXN,CTH,14,0,0,1,0,0,14
ZNF777,SKIDA1,27,0,1,0,0,27,0
LLGL1,HSD17B13,18,1,0,0,18,0,0
ZMAT3,ACTR8,31,1,1,0,6,25,0
LRIG2,DENND4A,87,1,1,0,43,44,0
GREB1,FEZ1,55,1,0,0,55,0,0
LRRC2,DMC1,13,1,0,0,13,0,0
SYT17,RBBP9,29,1,0,0,29,0,0
FBXW8,ARPP19,36,1,0,1,1,0,35
GALNS,CLSPN,17,0,0,1,0,0,17
UBE2G2,GNL3L,15,0,0,1,0,0,15
TFDP2,PDCL,17,1,1,0,5,12,0
TMED4,GRIN2C,24,1,0,0,24,0,0
ZKSCAN3,TMEM239,24,1,1,0,23,1,0
SLC37A2,PLAC8,31,0,0,1,0,0,31
RNF170,LOC102723623,24,1,0,0,24,0,0
MOG,ERVV-1,13,1,0,1,1,0,12
ZNF286A,OGFOD1,15,1,0,0,15,0,0
FBXL20,DSG3,22,1,1,0,5,17,0
SMIM14,HRK,29,1,1,1,17,11,1
PUS7L,GBP4,109,1,1,1,73,15,21
SSBP2,FCF1,17,1,0,1,2,0,15
KLRD1,FNIP2,735,1,1,1,335,230,170
C14orf132,ARNTL2,125,1,1,0,1,124,0
MACC1,EPB41,66,1,1,1,11,32,23
RSPH3,AK7,71,0,1,0,0,71,0
LOC112267947,GEMIN8,15,0,1,0,0,15,0
IBA57,EPB41,47,0,0,1,0,0,45
TRIM56,ADAT2,19,1,0,0,19,0,0
ZBTB11,ANGEL2,43,1,0,0,43,0,0
ZNF665,NYAP2,16,1,0,0,16,0,0
TMEM209,CA5B,15,1,1,0,2,13,0
ENTPD1,ANKRD18A,15,0,0,1,0,0,15
TCTN1,NBPF6,13,0,1,0,0,13,0
RPAP2,PATJ,19,0,0,1,0,0,19
ZNF426,ZNF286A,85,1,0,0,83,0,0
RMDN1,RDH13,19,1,0,0,19,0,0
NMNAT1,GEMIN8,15,1,1,1,13,1,1
ZNF429,CAV2,33,0,1,1,0,1,32
SHANK1,C19orf81,28,1,1,1,15,1,12
RNF135,FBXL18,14,0,0,1,0,0,14
TTLL4,NAA25,58,1,0,0,58,0,0
TDRD10,MTMR12,13,1,1,0,11,2,0
ZC3H12D,C1QTNF6,36,1,0,0,36,0,0
UNK,CCR6,24,1,0,0,24,0,0
STX8,RPS27,18,1,0,0,18,0,0
ZSCAN31,KATNAL1,36,0,0,1,0,0,36
WDR55,DCLRE1C,25,1,0,1,3,0,22
KDELC2,C20orf196,16,1,0,0,16,0,0
TOP3A,GUCD1,19,1,0,0,19,0,0
YAF2,SLC1A2,15,1,0,0,15,0,0
FBXL20,DGKB,82,1,1,0,81,1,0
PDSS2,ARID3A,63,1,1,0,1,62,0
LILRB5,LILRB2,132,1,0,1,101,0,31
ZNF3,CCR6,30,0,0,1,0,0,30
SIX4,PCDH11Y,28,1,1,0,20,8,0
SEC22C,BLOC1S6,23,0,1,0,0,23,0
SLC4A8,EED,59,0,1,0,0,59,0
IPCEF1,CD84,35,0,0,1,0,0,35
MDM4,EIF5A2,19,1,1,0,8,11,0
YES1,CD96,36,1,0,0,36,0,0
MPC1,CPPED1,28,0,1,1,0,12,16
SRR,CPPED1,14,1,0,1,8,0,6
ZNF699,SUOX,13,1,0,0,13,0,0
SHROOM1,CYP4V2,26,1,1,1,5,1,20
TOP3A,TFDP2,94,1,1,0,2,92,0
KIF3A,DVL3,17,0,1,0,0,17,0
FBXL18,CEP78,15,1,1,1,2,1,12
TTF2,OPA3,28,1,0,1,2,0,26
PXMP4,MAGI2,34,1,1,1,7,19,8
TRIOBP,CHDH,15,0,0,1,0,0,15
ZNF320,CTSB,19,0,0,1,0,0,19
RABL2A,GPSM2,25,1,0,0,25,0,0
PAK3,KLHL6,20,0,1,0,0,20,0
TRAF3IP1,OPA3,43,1,0,1,4,0,39
SLC16A6,HIF3A,20,1,0,0,20,0,0
POLH,ETFBKMT,22,0,1,1,0,2,20
ZNF141,STX2,14,1,1,0,1,13,0
MDM4,AP3S2,25,1,0,0,25,0,0
ZDHHC3,PRKAR2A,35,0,1,0,0,35,0
SEC14L6,MAP7D2,13,0,1,0,0,13,0
PXMP4,PHACTR4,13,1,1,1,8,2,3
ZNF93,SPAST,26,1,0,0,26,0,0
ZNF763,SIGLEC6,18,0,0,1,0,0,18
ZNF154,OPRM1,28,0,0,1,0,0,28
MED18,MAP3K7CL,38,1,0,0,38,0,0
ZSCAN22,EXO5,121,0,1,0,0,121,0
TBC1D15,FMN1,55,1,0,1,32,0,23
MKS1,EPX,29,1,0,0,29,0,0
MOB4,HIGD1A,15,1,0,0,15,0,0
ZBTB3,SKA2,13,0,1,0,0,13,0
ARPP19,AKAP12,30,0,0,1,0,0,30
ZNF716,ECT2,22,1,1,0,20,2,0
SLC35F1,CCSER2,13,1,1,0,6,7,0
TMEM138,AHCYL2,43,1,1,1,30,5,8
IPP,CBX5,13,0,0,1,0,0,13
PSTPIP2,NEK4,37,0,0,1,0,0,37
PPM1K,P2RX7,22,1,1,0,20,2,0
ESR1,DCDC1,37,1,1,1,3,1,33
ZNF136,GAPVD1,19,1,0,0,19,0,0
TTC39C,SRPK2,13,0,1,0,0,13,0
RPS6KA3,RPL36A,44,1,0,0,44,0,0
KRT8,ANKS1B,25,0,0,1,0,0,25
PXMP4,CCL5,18,1,1,1,2,15,1
SLC35G5,CFLAR,25,1,1,0,1,24,0
SLC37A2,FOXO3,14,1,0,0,14,0,0
TMEM131L,BMP8B,13,1,0,0,13,0,0
TAF11,ARF3,28,0,1,0,0,28,0
PAPLN,CNKSR2,24,0,1,0,0,24,0
EIF2S3,ATP6AP1L,17,0,1,0,0,17,0
ZKSCAN3,NCMAP,13,1,0,1,2,0,11
